job_id,job_title,experience_level,work_mode,primary_skill,salary_usd
2001,Software Engineer,Mid,Hybrid,Power BI,97020
2002,Data Analyst,Entry,On-Site,Power BI,84782
2003,Software Engineer,Entry,On-Site,Python,66363
2004,Data Engineer,Entry,Hybrid,AWS,70193
2005,Data Analyst,Mid,Remote,SQL,110523
2006,Data Analyst,Senior,Hybrid,Power BI,132554
2007,Data Analyst,Mid,Remote,PyTorch,133453
2008,Data Engineer,Senior,Remote,Power BI,154208
2009,Data Engineer,Entry,Remote,Snowflake,69057
2010,Data Engineer,Senior,Hybrid,AWS,140166
2011,Machine Learning Engineer,Lead,On-Site,Docker,211852
2012,Data Analyst,Lead,Remote,Python,192773
2013,Data Analyst,Mid,On-Site,SQL,102642
2014,Data Analyst,Mid,On-Site,Python,134409
2015,Data Analyst,Senior,Remote,Tableau,168877
2016,Machine Learning Engineer,Senior,Remote,SQL,136372
2017,Data Scientist,Senior,Remote,Python,147104
2018,Data Scientist,Mid,Hybrid,Docker,111249
2019,Data Scientist,Entry,Hybrid,AWS,86983
2020,Data Engineer,Mid,Remote,Python,94855
2021,Data Scientist,Entry,Remote,AWS,91764
2022,Data Engineer,Entry,Hybrid,SQL,62694
2023,Data Analyst,Mid,On-Site,Tableau,118503
2024,Machine Learning Engineer,Senior,Remote,Docker,159663
2025,Software Engineer,Senior,Remote,Python,142536
2026,Machine Learning Engineer,Mid,On-Site,Python,112983
2027,Data Analyst,Mid,Remote,SQL,132430
2028,Data Engineer,Mid,Hybrid,SQL,133730
2029,Data Analyst,Lead,Hybrid,SQL,189938
2030,Data Scientist,Entry,Hybrid,Python,69752
2031,Data Analyst,Lead,Remote,AWS,238995
2032,Data Scientist,Entry,Hybrid,SQL,85487
2033,Data Scientist,Mid,Hybrid,AWS,94063
2034,Data Engineer,Senior,Remote,Python,162499
2035,Data Analyst,Senior,Hybrid,SQL,165484
2036,Data Scientist,Entry,Remote,Snowflake,64813
2037,Data Analyst,Mid,On-Site,Docker,101607
2038,Machine Learning Engineer,Senior,Hybrid,AWS,143301
2039,Software Engineer,Entry,On-Site,Power BI,71866
2040,Data Scientist,Mid,On-Site,Docker,125094
2041,Data Analyst,Mid,Remote,Docker,117289
2042,Data Analyst,Entry,Hybrid,Python,65628
2043,Data Scientist,Mid,Hybrid,SQL,122048
2044,Data Engineer,Entry,Hybrid,Power BI,89722
2045,Data Scientist,Senior,Remote,SQL,144586
2046,Software Engineer,Entry,Remote,Docker,82089
2047,Data Engineer,Senior,Hybrid,AWS,140738
2048,Data Analyst,Senior,Remote,Power BI,139741
2049,Software Engineer,Lead,On-Site,SQL,171081
2050,Data Engineer,Lead,On-Site,PyTorch,229710
2051,Data Engineer,Mid,On-Site,SQL,97627
2052,Software Engineer,Mid,Hybrid,Power BI,94372
2053,Software Engineer,Mid,Remote,AWS,129481
2054,Data Scientist,Senior,Hybrid,SQL,146147
2055,Machine Learning Engineer,Senior,On-Site,Snowflake,158123
2056,Machine Learning Engineer,Mid,Hybrid,Spark,125810
2057,Data Engineer,Senior,Remote,Python,161805
2058,Data Engineer,Entry,Hybrid,SQL,80679
2059,Data Analyst,Entry,On-Site,SQL,64447
2060,Machine Learning Engineer,Mid,Remote,Power BI,93840
2061,Data Engineer,Entry,Hybrid,Power BI,85413
2062,Data Engineer,Lead,Remote,Tableau,188958
2063,Data Analyst,Mid,Remote,PyTorch,127619
2064,Data Engineer,Senior,Remote,Python,143763
2065,Data Scientist,Mid,Hybrid,SQL,132968
2066,Data Scientist,Senior,Hybrid,SQL,143625
2067,Machine Learning Engineer,Mid,Remote,Python,92070
2068,Software Engineer,Entry,Hybrid,AWS,63424
2069,Data Engineer,Mid,Remote,AWS,107932
2070,Data Scientist,Mid,Remote,SQL,118163
2071,Software Engineer,Mid,Hybrid,Python,93175
2072,Data Analyst,Mid,Hybrid,PyTorch,115896
2073,Data Scientist,Mid,Hybrid,AWS,132365
2074,Software Engineer,Mid,On-Site,Python,93121
2075,Data Analyst,Entry,Remote,Power BI,62491
2076,Machine Learning Engineer,Mid,Remote,Tableau,102683
2077,Data Scientist,Entry,Hybrid,Docker,85727
2078,Data Analyst,Senior,Remote,Spark,174375
2079,Data Engineer,Lead,Remote,Tableau,193856
2080,Software Engineer,Lead,Remote,Spark,222818
2081,Software Engineer,Entry,Hybrid,Tableau,71201
2082,Data Engineer,Senior,Remote,Snowflake,135020
2083,Software Engineer,Mid,On-Site,Power BI,118432
2084,Data Analyst,Mid,Remote,Power BI,123856
2085,Machine Learning Engineer,Senior,Remote,AWS,133165
2086,Data Engineer,Mid,On-Site,SQL,95268
2087,Machine Learning Engineer,Entry,Hybrid,Python,62943
2088,Data Analyst,Senior,On-Site,Spark,134474
2089,Software Engineer,Entry,Remote,SQL,88447
2090,Software Engineer,Lead,Hybrid,SQL,175845
2091,Data Scientist,Senior,Remote,Snowflake,136115
2092,Data Analyst,Mid,Hybrid,Python,95346
2093,Data Scientist,Entry,Hybrid,Power BI,93676
2094,Data Analyst,Mid,On-Site,SQL,133345
